,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
131,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,2.0,1.0, 298,,0.0,2023-06-23 02:25:45,,,,,,,,,,,
132,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,3.0,1.0500001907348633, 298,,0.0,2023-06-23 02:25:45,,,,,,,,,,,
133,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 02:25:45,2.0,0.8199999928474426,8305,,0.0,,,,,,
134,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 02:25:45,3.0,0.6600000262260437,1836,,0.0,,,,,,
135,MARKET_BY_ORDER,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 02:25:45,4.0,0.0,,,0.0,,,,,,
136,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 02:25:45.752000,,,,,,,,,,,,1.0,0.8299999833106995,,1.0,2000.0,
137,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,41.0,,,,,,,,,,,,,2023-06-23 02:33:10.330000,1.0,0.8700000047683716,,,2000.0,,,,,,709445634
138,MARKET_BY_ORDER,BID,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,42.0,,,,,,,,,,,,,2023-06-23 02:33:10.330000,1.0,0.8700000047683716,,,2000.0,,,,,,709445634
139,MARKET_BY_ORDER,ASK,,,53714,DEL,,,,,,,,,,970 HK Equity.type=MBO,,43.0,,,,,,,,1.0,0.8700000047683716,,,2000.0,2023-06-23 02:33:10.330000,,,,,,,,,,,665012482
140,MARKET_BY_LEVEL,ASK,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,1.0,0.0,,0.0,0.0,2023-06-23 02:33:10.330000,,,,,,,,,,,,,,,,,
