Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
30:00.0,6698,2.86,ASK,18000,New Order,6,,Interactive Brokers Hong Kong Limited
30:01.1,6387,2.76,BID,1000,New Order,3,,Morgan Stanley Hong Kong Securities Limited
30:01.2,6387,2.83,ASK,15000,New Order,2,,Morgan Stanley Hong Kong Securities Limited
30:01.2,1410,2.9,ASK,21000,New Order,12,,Anli Securities Limited
30:02.0,3286,2.83,ASK,1000,New Order,3,,Merrill Lynch Far East Limited
30:02.0,5345,2.83,ASK,1000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
30:02.0,4581,2.6,BID,7000,New Order,20,,Chief Securities Limited
30:02.0,6084,2.81,BID,2000,Removed Order,1,,KGI Asia Limited
30:02.0,5347,2.84,ASK,1000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited
30:02.0,6387,2.83,ASK,1000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
30:02.1,6387,2.83,ASK,15000,Removed Order,2,,Morgan Stanley Hong Kong Securities Limited
30:02.1,1410,2.9,ASK,21000,Removed Order,13,,Anli Securities Limited
30:02.1,6387,2.86,ASK,14000,Removed Order,7,,Morgan Stanley Hong Kong Securities Limited
30:02.2,6387,2.83,ASK,12000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
30:02.2,6387,2.84,ASK,11000,New Order,6,,Morgan Stanley Hong Kong Securities Limited
30:03.2,3436,2.83,ASK,42000,New Order,6,,Goldman Sachs (Asia) Securities Limited
30:03.3,3448,2.83,ASK,42000,New Order,7,,Goldman Sachs (Asia) Securities Limited
30:03.3,3436,2.83,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
30:03.5,3448,2.84,ASK,1000,New Order,10,,Goldman Sachs (Asia) Securities Limited
30:03.5,8574,2.76,BID,6000,New Order,3,,HSBC Securities Brokers (Asia) Limited
30:04.0,2310,2.66,BID,26000,New Order,17,,Hang Seng Securities Limited
30:04.2,3436,2.84,ASK,1000,New Order,11,,Goldman Sachs (Asia) Securities Limited
30:04.2,3448,2.82,ASK,1000,New Order,1,,Goldman Sachs (Asia) Securities Limited
30:04.4,3448,2.83,ASK,42000,Removed Order,8,,Goldman Sachs (Asia) Securities Limited
30:04.4,3448,2.82,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
30:04.5,3436,2.83,ASK,42000,Removed Order,8,,Goldman Sachs (Asia) Securities Limited
30:04.5,3436,2.82,ASK,42000,New Order,3,,Goldman Sachs (Asia) Securities Limited
30:04.6,6387,2.82,ASK,4000,New Order,4,,Morgan Stanley Hong Kong Securities Limited
30:04.6,6387,2.84,ASK,11000,Removed Order,11,,Morgan Stanley Hong Kong Securities Limited
30:04.6,6387,2.82,ASK,11000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
30:05.0,6387,2.83,ASK,1000,Removed Order,9,,Morgan Stanley Hong Kong Securities Limited
30:05.0,5347,2.82,ASK,1000,New Order,6,,J.P. Morgan Broking (Hong Kong) Limited
30:05.2,639,2.82,ASK,168000,New Order,7,,UBS Securities Hong Kong Limited
30:05.6,3436,2.82,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
30:06.0,3284,2.82,ASK,16000,New Order,9,,Merrill Lynch Far East Limited
30:06.0,3436,2.83,ASK,12000,New Order,15,,Goldman Sachs (Asia) Securities Limited
30:06.0,3448,2.84,ASK,1000,New Order,18,,Goldman Sachs (Asia) Securities Limited
30:06.0,3265,2.82,ASK,11000,New Order,10,,Merrill Lynch Far East Limited
30:07.0,5345,2.83,ASK,1000,Removed Order,13,,J.P. Morgan Broking (Hong Kong) Limited
30:07.0,3286,2.83,ASK,1000,Removed Order,12,,Merrill Lynch Far East Limited
30:07.1,6084,2.78,BID,2000,Trade,1,,KGI Asia Limited
30:07.1,2428,2.85,ASK,112000,New Order,18,,Barclays Capital Asia Limited
30:08.0,3275,2.82,ASK,1000,New Order,11,,Merrill Lynch Far East Limited
30:08.0,3278,2.82,ASK,1000,New Order,12,,Merrill Lynch Far East Limited
30:08.0,2428,2.73,BID,185000,New Order,8,,Barclays Capital Asia Limited
30:08.1,4455,2.86,ASK,113000,New Order,23,,Barclays Capital Asia Limited
30:11.6,6387,2.71,BID,2000,New Order,13,,Morgan Stanley Hong Kong Securities Limited
30:13.4,5337,2.81,ASK,70000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited
30:13.4,2428,2.73,BID,112000,New Order,9,,Barclays Capital Asia Limited
30:13.4,3448,2.82,ASK,42000,Removed Order,3,,Goldman Sachs (Asia) Securities Limited
30:13.4,3448,2.81,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
30:13.4,3436,2.82,ASK,42000,Removed Order,4,,Goldman Sachs (Asia) Securities Limited
30:13.4,3436,2.81,ASK,42000,New Order,3,,Goldman Sachs (Asia) Securities Limited
30:13.4,639,2.81,ASK,126000,New Order,4,,UBS Securities Hong Kong Limited
30:13.4,5347,2.82,ASK,1000,Removed Order,8,,J.P. Morgan Broking (Hong Kong) Limited
30:13.4,5344,2.81,ASK,1000,New Order,5,,J.P. Morgan Broking (Hong Kong) Limited
30:13.4,3436,2.83,ASK,12000,Removed Order,18,,Goldman Sachs (Asia) Securities Limited
30:13.4,3448,2.84,ASK,1000,Removed Order,20,,Goldman Sachs (Asia) Securities Limited
30:13.4,3268,2.81,ASK,9000,New Order,6,,Merrill Lynch Far East Limited
30:13.4,3265,2.82,ASK,11000,Removed Order,13,,Merrill Lynch Far East Limited
30:13.4,3274,2.81,ASK,12000,New Order,7,,Merrill Lynch Far East Limited
30:13.6,3436,2.81,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
30:13.8,6387,2.83,ASK,12000,Removed Order,18,,Morgan Stanley Hong Kong Securities Limited
30:13.8,6387,2.81,ASK,24000,New Order,9,,Morgan Stanley Hong Kong Securities Limited
30:13.8,6387,2.81,ASK,12000,New Order,10,,Morgan Stanley Hong Kong Securities Limited
30:15.2,2087,2.72,BID,114000,New Order,12,,Barclays Capital Asia Limited
30:20.4,639,2.82,ASK,168000,Removed Order,14,,UBS Securities Hong Kong Limited
30:20.4,639,2.81,ASK,126000,Removed Order,4,,UBS Securities Hong Kong Limited
30:20.4,3268,2.83,ASK,5000,New Order,19,,Merrill Lynch Far East Limited
30:21.1,4455,2.85,ASK,161000,New Order,23,,Barclays Capital Asia Limited
30:26.1,3284,2.82,ASK,16000,Removed Order,14,,Merrill Lynch Far East Limited
30:26.1,3268,2.81,ASK,9000,Removed Order,5,,Merrill Lynch Far East Limited
30:26.1,3274,2.81,ASK,12000,Removed Order,5,,Merrill Lynch Far East Limited
30:26.1,2428,2.85,ASK,112000,Removed Order,19,,Barclays Capital Asia Limited
30:26.1,3268,2.83,ASK,5000,Removed Order,16,,Merrill Lynch Far East Limited
30:27.0,6384,2.77,BID,7000,New Order,1,,Morgan Stanley Hong Kong Securities Limited
30:27.9,3448,2.81,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
30:27.9,2075,2.84,ASK,48000,New Order,19,,Barclays Capital Asia Limited
30:28.0,5227,2.67,BID,1000,Removed Order,20,,Shenwan Hongyuan Securities (H.K.) Limited
30:28.1,4455,2.83,ASK,64000,New Order,17,,Barclays Capital Asia Limited
30:28.1,6387,2.91,ASK,1000,Removed Order,32,,Morgan Stanley Hong Kong Securities Limited
30:28.9,6387,2.78,BID,19000,New Order,1,,Morgan Stanley Hong Kong Securities Limited
30:29.8,7368,2.75,BID,13000,New Order,6,,Merrill Lynch Far East Limited
30:35.0,5227,2.77,BID,10000,New Order,3,,Shenwan Hongyuan Securities (H.K.) Limited
30:35.0,2428,2.73,BID,112000,Removed Order,13,,Barclays Capital Asia Limited
30:40.0,2428,2.73,BID,185000,Removed Order,13,,Barclays Capital Asia Limited
30:40.0,7368,2.75,BID,13000,Removed Order,7,,Merrill Lynch Far East Limited
30:40.1,2087,2.72,BID,114000,Removed Order,15,,Barclays Capital Asia Limited
30:42.6,6698,2.73,BID,10000,Order Modified,12,,Interactive Brokers Hong Kong Limited
30:43.1,2087,2.76,BID,62000,New Order,7,,Barclays Capital Asia Limited
30:44.1,639,2.81,ASK,21000,New Order,9,,UBS Securities Hong Kong Limited
30:46.4,5999,2.73,BID,1000,New Order,16,,China Innovation Market Service Company Limited
30:48.3,5999,2.76,BID,20000,New Order,8,,China Innovation Market Service Company Limited
30:50.3,2428,2.72,BID,4000,Removed Order,19,,Barclays Capital Asia Limited
30:50.3,4581,2.68,BID,4000,New Order,24,,Chief Securities Limited
30:55.8,7368,2.77,BID,9000,New Order,4,,Merrill Lynch Far East Limited
30:58.8,5337,2.81,ASK,2000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
31:00.8,2457,2.78,ASK,69000,New Order,1,,Futu Securities International (Hong Kong) Limited
31:00.8,6387,2.78,BID,19000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
31:00.8,2457,2.78,ASK,19000,Order Modified,1,,Futu Securities International (Hong Kong) Limited
31:00.8,3448,2.81,ASK,42000,Removed Order,3,,Goldman Sachs (Asia) Securities Limited
31:00.8,3448,2.78,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
31:00.8,3436,2.81,ASK,42000,Removed Order,4,,Goldman Sachs (Asia) Securities Limited
31:00.8,3436,2.78,ASK,42000,New Order,3,,Goldman Sachs (Asia) Securities Limited
31:00.8,5344,2.81,ASK,1000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited
31:00.8,5338,2.78,ASK,1000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
31:00.9,6384,2.78,BID,34000,New Order,1,,Morgan Stanley Hong Kong Securities Limited
31:00.9,6384,2.78,BID,34000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
31:00.9,2457,2.78,ASK,34000,Order Modified,1,,Futu Securities International (Hong Kong) Limited
31:00.9,7368,2.77,BID,9000,Removed Order,3,,Merrill Lynch Far East Limited
31:00.9,2428,2.75,BID,193000,Removed Order,9,,Barclays Capital Asia Limited
31:00.9,6387,2.81,ASK,12000,Removed Order,8,,Morgan Stanley Hong Kong Securities Limited
31:00.9,6387,2.82,ASK,4000,Removed Order,11,,Morgan Stanley Hong Kong Securities Limited
31:00.9,6387,2.81,ASK,24000,Removed Order,7,,Morgan Stanley Hong Kong Securities Limited
31:00.9,6387,2.82,ASK,11000,Removed Order,10,,Morgan Stanley Hong Kong Securities Limited
31:00.9,6387,2.79,ASK,15000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
31:00.9,2087,2.76,BID,62000,Removed Order,5,,Barclays Capital Asia Limited
31:00.9,3448,2.84,ASK,1000,Removed Order,17,,Goldman Sachs (Asia) Securities Limited
31:00.9,6387,2.79,ASK,4000,New Order,6,,Morgan Stanley Hong Kong Securities Limited
31:01.0,6387,2.78,ASK,26000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
31:01.0,6387,2.79,ASK,11000,New Order,8,,Morgan Stanley Hong Kong Securities Limited
31:01.0,3448,2.82,ASK,1000,Removed Order,13,,Goldman Sachs (Asia) Securities Limited
31:01.0,3448,2.78,ASK,1000,New Order,6,,Goldman Sachs (Asia) Securities Limited
31:01.0,3436,2.82,ASK,1000,Removed Order,14,,Goldman Sachs (Asia) Securities Limited
31:01.0,3436,2.83,ASK,1000,Removed Order,17,,Goldman Sachs (Asia) Securities Limited
31:01.0,3436,2.84,ASK,1000,Removed Order,18,,Goldman Sachs (Asia) Securities Limited
31:01.0,3448,2.78,ASK,1000,New Order,7,,Goldman Sachs (Asia) Securities Limited
31:01.0,6384,2.77,BID,7000,Removed Order,1,,Morgan Stanley Hong Kong Securities Limited
31:04.9,2428,2.74,BID,194000,New Order,11,,Barclays Capital Asia Limited
31:04.9,639,2.81,ASK,21000,Removed Order,14,,UBS Securities Hong Kong Limited
31:05.4,4455,2.75,BID,63000,New Order,7,,Barclays Capital Asia Limited
31:06.5,5337,2.81,ASK,68000,Removed Order,11,,J.P. Morgan Broking (Hong Kong) Limited
31:13.2,2075,2.84,ASK,48000,Removed Order,17,,Barclays Capital Asia Limited
31:13.2,4455,2.85,ASK,161000,Removed Order,17,,Barclays Capital Asia Limited
31:13.2,4455,2.86,ASK,113000,Removed Order,19,,Barclays Capital Asia Limited
31:16.5,6387,2.79,ASK,6000,New Order,11,,Morgan Stanley Hong Kong Securities Limited
31:16.5,4455,2.83,ASK,64000,Removed Order,17,,Barclays Capital Asia Limited
31:16.5,2428,2.81,ASK,116000,New Order,14,,Barclays Capital Asia Limited
31:16.5,2087,2.82,ASK,199000,New Order,17,,Barclays Capital Asia Limited
31:16.5,2075,2.82,ASK,7000,New Order,18,,Barclays Capital Asia Limited
31:17.4,5998,2.71,BID,36000,New Order,20,,China Innovation Market Service Company Limited
31:21.5,2075,2.82,ASK,63000,New Order,19,,Barclays Capital Asia Limited
31:22.1,6387,2.8,ASK,2000,New Order,12,,Morgan Stanley Hong Kong Securities Limited
31:22.6,6387,2.79,ASK,1000,New Order,12,,Morgan Stanley Hong Kong Securities Limited
31:22.6,3436,2.78,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
31:22.8,9064,2.77,BID,22000,New Order,2,,UBS Securities Hong Kong Limited
31:22.8,3278,2.82,ASK,1000,Removed Order,19,,Merrill Lynch Far East Limited
31:22.8,3275,2.82,ASK,1000,Removed Order,18,,Merrill Lynch Far East Limited
31:22.8,3268,2.78,ASK,1000,New Order,9,,Merrill Lynch Far East Limited
31:22.8,3269,2.78,ASK,1000,New Order,10,,Merrill Lynch Far East Limited
31:23.4,2457,2.78,ASK,16000,Trade,1,,Futu Securities International (Hong Kong) Limited
31:23.4,3448,2.78,ASK,42000,Trade,1,,Goldman Sachs (Asia) Securities Limited
31:23.4,3436,2.78,ASK,42000,Trade,1,,Goldman Sachs (Asia) Securities Limited
31:23.4,5338,2.78,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
31:23.4,6387,2.78,ASK,26000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
31:23.4,3448,2.78,ASK,1000,Trade,1,,Goldman Sachs (Asia) Securities Limited
31:23.4,3448,2.78,ASK,1000,Trade,1,,Goldman Sachs (Asia) Securities Limited
31:23.4,3436,2.78,ASK,1000,Trade,1,,Goldman Sachs (Asia) Securities Limited
31:23.4,3268,2.78,ASK,1000,Trade,1,,Merrill Lynch Far East Limited
31:23.4,3269,2.78,ASK,1000,Trade,1,,Merrill Lynch Far East Limited
31:23.4,3448,2.79,ASK,42000,New Order,6,,Goldman Sachs (Asia) Securities Limited
31:23.4,3436,2.79,ASK,1000,New Order,7,,Goldman Sachs (Asia) Securities Limited
31:23.4,6387,2.79,ASK,42000,New Order,8,,Morgan Stanley Hong Kong Securities Limited
31:23.4,3436,2.79,ASK,1000,Removed Order,7,,Goldman Sachs (Asia) Securities Limited
31:23.4,639,2.77,BID,70000,New Order,3,,UBS Securities Hong Kong Limited
31:23.4,2428,2.81,ASK,116000,Removed Order,11,,Barclays Capital Asia Limited
31:23.5,5338,2.77,BID,9000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
31:23.6,1799,2.83,ASK,3000,New Order,15,,Bright Smart Securities International (H.K.) Limited
31:23.7,6387,2.79,ASK,43000,New Order,8,,Morgan Stanley Hong Kong Securities Limited
31:29.8,2087,2.82,ASK,116000,New Order,15,,Barclays Capital Asia Limited
31:34.0,5227,2.77,BID,10000,Trade,1,,Shenwan Hongyuan Securities (H.K.) Limited
31:34.0,639,2.77,BID,70000,Removed Order,2,,UBS Securities Hong Kong Limited
31:34.0,5347,2.79,ASK,3000,New Order,9,,J.P. Morgan Broking (Hong Kong) Limited
31:37.4,1172,2.7,BID,20000,New Order,23,,Huatai Financial Holdings (Hong Kong) Limited
31:37.9,2245,2.69,BID,10000,New Order,24,,Futu Securities International (Hong Kong) Limited
31:38.0,6387,2.82,ASK,13000,New Order,17,,Morgan Stanley Hong Kong Securities Limited
31:49.5,6387,2.79,ASK,1000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
31:49.7,1799,2.83,ASK,3000,Removed Order,19,,Bright Smart Securities International (H.K.) Limited
31:49.7,9028,2.82,ASK,3000,New Order,18,,UBS Securities Hong Kong Limited
31:57.2,3436,2.8,ASK,1000,New Order,11,,Goldman Sachs (Asia) Securities Limited
32:00.1,2075,2.82,ASK,63000,Removed Order,16,,Barclays Capital Asia Limited
32:03.1,2087,2.82,ASK,65000,New Order,19,,Barclays Capital Asia Limited
32:05.2,3436,2.8,ASK,1000,New Order,12,,Goldman Sachs (Asia) Securities Limited
32:05.2,2087,2.82,ASK,199000,Removed Order,15,,Barclays Capital Asia Limited
32:05.2,2075,2.82,ASK,7000,Removed Order,15,,Barclays Capital Asia Limited
32:07.7,8306,2.78,ASK,22000,New Order,1,,Futu Securities International (Hong Kong) Limited
32:07.7,3448,2.79,ASK,42000,Removed Order,7,,Goldman Sachs (Asia) Securities Limited
32:07.7,3448,2.78,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
32:07.7,6387,2.79,ASK,42000,Removed Order,8,,Morgan Stanley Hong Kong Securities Limited
32:07.7,3436,2.78,ASK,42000,New Order,3,,Goldman Sachs (Asia) Securities Limited
32:07.9,9028,2.82,ASK,3000,Removed Order,18,,UBS Securities Hong Kong Limited
32:07.9,9069,2.81,ASK,4000,New Order,16,,UBS Securities Hong Kong Limited
32:08.0,3436,2.8,ASK,1000,Removed Order,12,,Goldman Sachs (Asia) Securities Limited
32:08.0,3436,2.79,ASK,1000,New Order,11,,Goldman Sachs (Asia) Securities Limited
32:08.1,6387,2.79,ASK,43000,Removed Order,9,,Morgan Stanley Hong Kong Securities Limited
32:08.1,6387,2.78,ASK,43000,New Order,4,,Morgan Stanley Hong Kong Securities Limited
32:09.9,9064,2.77,BID,22000,Trade,1,,UBS Securities Hong Kong Limited
32:09.9,5338,2.77,BID,9000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
32:09.9,1799,2.84,ASK,195000,New Order,21,,Bright Smart Securities International (H.K.) Limited
32:09.9,2087,2.84,ASK,117000,New Order,22,,Barclays Capital Asia Limited
32:09.9,3436,2.79,ASK,1000,New Order,12,,Goldman Sachs (Asia) Securities Limited
32:09.9,4455,2.75,BID,63000,Removed Order,6,,Barclays Capital Asia Limited
32:09.9,2428,2.75,BID,112000,Removed Order,5,,Barclays Capital Asia Limited
32:10.0,5336,2.76,BID,3000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
32:10.1,6387,2.82,ASK,13000,Removed Order,19,,Morgan Stanley Hong Kong Securities Limited
32:10.1,6387,2.8,ASK,12000,New Order,15,,Morgan Stanley Hong Kong Securities Limited
32:10.1,2428,2.74,BID,194000,Removed Order,10,,Barclays Capital Asia Limited
32:10.1,2246,2.74,BID,115000,Removed Order,9,,Futu Securities International (Hong Kong) Limited
32:10.1,6387,2.81,ASK,15000,New Order,19,,Morgan Stanley Hong Kong Securities Limited
32:10.7,3436,2.79,ASK,1000,Removed Order,11,,Goldman Sachs (Asia) Securities Limited
32:10.7,3436,2.78,ASK,1000,New Order,5,,Goldman Sachs (Asia) Securities Limited
32:11.4,2087,2.74,BID,65000,New Order,10,,Barclays Capital Asia Limited
32:11.4,2428,2.73,BID,115000,New Order,13,,Barclays Capital Asia Limited
32:18.7,4821,2.87,ASK,18000,New Order,27,,Valuable Capital Limited
32:18.7,2075,2.73,BID,205000,New Order,14,,Barclays Capital Asia Limited
32:18.7,2087,2.72,BID,116000,New Order,16,,Barclays Capital Asia Limited
32:31.5,3448,2.78,ASK,1000,New Order,6,,Goldman Sachs (Asia) Securities Limited
32:44.4,3448,2.78,ASK,1000,New Order,7,,Goldman Sachs (Asia) Securities Limited
32:50.7,3436,2.78,ASK,1000,Removed Order,5,,Goldman Sachs (Asia) Securities Limited
32:50.7,3448,2.78,ASK,42000,Removed Order,2,,Goldman Sachs (Asia) Securities Limited
32:50.7,3436,2.78,ASK,42000,Removed Order,2,,Goldman Sachs (Asia) Securities Limited
32:50.7,6698,2.75,BID,9000,New Order,6,,Interactive Brokers Hong Kong Limited
32:50.7,639,2.76,BID,36000,New Order,5,,UBS Securities Hong Kong Limited
32:50.7,6698,2.75,BID,9000,Removed Order,7,,Interactive Brokers Hong Kong Limited
32:50.9,3436,2.81,ASK,1000,Removed Order,15,,Goldman Sachs (Asia) Securities Limited
32:50.9,3448,2.81,ASK,1000,Removed Order,15,,Goldman Sachs (Asia) Securities Limited
32:50.9,9069,2.81,ASK,4000,Removed Order,15,,UBS Securities Hong Kong Limited
32:50.9,9069,2.8,ASK,3000,New Order,15,,UBS Securities Hong Kong Limited
32:51.5,3448,2.77,ASK,1000,New Order,1,,Goldman Sachs (Asia) Securities Limited
32:51.5,3436,2.77,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
32:51.5,6387,2.77,ASK,42000,New Order,3,,Morgan Stanley Hong Kong Securities Limited
32:51.5,639,2.76,BID,36000,Removed Order,5,,UBS Securities Hong Kong Limited
32:51.6,3448,2.77,ASK,1000,Trade,1,,Goldman Sachs (Asia) Securities Limited
32:51.6,6387,2.79,ASK,4000,Removed Order,8,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.79,ASK,14000,Removed Order,7,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.79,ASK,11000,Removed Order,7,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.77,ASK,4000,New Order,3,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.77,ASK,4000,New Order,4,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.77,ASK,14000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
32:51.6,6387,2.77,ASK,11000,New Order,6,,Morgan Stanley Hong Kong Securities Limited
32:51.7,9069,2.8,ASK,3000,Removed Order,18,,UBS Securities Hong Kong Limited
32:51.7,9069,2.79,ASK,3000,New Order,15,,UBS Securities Hong Kong Limited
32:52.2,6387,2.79,ASK,6000,Removed Order,11,,Morgan Stanley Hong Kong Securities Limited
32:52.2,6387,2.78,ASK,6000,New Order,11,,Morgan Stanley Hong Kong Securities Limited
32:53.3,8575,2.75,BID,40000,New Order,6,,HSBC Securities Brokers (Asia) Limited
32:55.2,7916,2.7,BID,5000,New Order,24,,ICBC (Asia) Securities Limited
33:07.5,6387,2.8,ASK,12000,Removed Order,19,,Morgan Stanley Hong Kong Securities Limited
33:07.5,6387,2.78,ASK,11000,New Order,13,,Morgan Stanley Hong Kong Securities Limited
33:07.5,6387,2.78,ASK,2000,New Order,14,,Morgan Stanley Hong Kong Securities Limited
33:07.5,6387,2.81,ASK,15000,Removed Order,21,,Morgan Stanley Hong Kong Securities Limited
33:07.5,6387,2.78,ASK,15000,New Order,15,,Morgan Stanley Hong Kong Securities Limited
33:17.3,8302,2.77,ASK,1000,New Order,8,,Futu Securities International (Hong Kong) Limited
33:20.6,6387,2.8,ASK,2000,Removed Order,21,,Morgan Stanley Hong Kong Securities Limited
33:20.6,6387,2.78,ASK,2000,New Order,17,,Morgan Stanley Hong Kong Securities Limited
33:25.3,8302,2.77,ASK,1000,Removed Order,8,,Futu Securities International (Hong Kong) Limited
33:25.3,8302,2.78,ASK,1000,New Order,17,,Futu Securities International (Hong Kong) Limited
33:35.0,8302,2.78,ASK,1000,Removed Order,17,,Futu Securities International (Hong Kong) Limited
33:35.0,8302,2.77,ASK,1000,New Order,8,,Futu Securities International (Hong Kong) Limited
33:38.9,6387,2.76,BID,1000,Trade,1,,Morgan Stanley Hong Kong Securities Limited
33:38.9,8574,2.76,BID,6000,Trade,1,,HSBC Securities Brokers (Asia) Limited
33:38.9,5999,2.76,BID,10000,Trade,1,,China Innovation Market Service Company Limited
33:38.9,8302,2.77,ASK,1000,Removed Order,8,,Futu Securities International (Hong Kong) Limited
33:38.9,5999,2.76,BID,1000,Trade,1,,China Innovation Market Service Company Limited
33:39.1,9069,2.79,ASK,3000,Removed Order,20,,UBS Securities Hong Kong Limited
33:39.1,9069,2.78,ASK,3000,New Order,17,,UBS Securities Hong Kong Limited
33:40.3,3436,2.77,ASK,1000,New Order,8,,Goldman Sachs (Asia) Securities Limited
33:55.8,6998,2.76,ASK,24000,New Order,1,,China Investment Information Services Limited
33:55.8,5999,2.76,BID,9000,Trade,1,,China Innovation Market Service Company Limited
33:55.8,6998,2.76,ASK,9000,Order Modified,1,,China Investment Information Services Limited
33:55.8,5336,2.76,BID,3000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
33:55.8,6998,2.76,ASK,3000,Order Modified,1,,China Investment Information Services Limited
33:55.8,3436,2.77,ASK,42000,Removed Order,2,,Goldman Sachs (Asia) Securities Limited
33:55.8,3448,2.76,ASK,42000,New Order,2,,Goldman Sachs (Asia) Securities Limited
33:55.8,6387,2.77,ASK,42000,Removed Order,3,,Morgan Stanley Hong Kong Securities Limited
33:55.8,3436,2.76,ASK,42000,New Order,3,,Goldman Sachs (Asia) Securities Limited
33:55.8,3436,2.77,ASK,1000,Removed Order,9,,Goldman Sachs (Asia) Securities Limited
33:55.8,3436,2.76,ASK,1000,New Order,4,,Goldman Sachs (Asia) Securities Limited
33:55.8,639,2.75,BID,19000,New Order,4,,UBS Securities Hong Kong Limited
33:55.9,6387,2.78,ASK,43000,Removed Order,11,,Morgan Stanley Hong Kong Securities Limited
33:55.9,2087,2.74,BID,65000,Removed Order,9,,Barclays Capital Asia Limited
33:55.9,2075,2.73,BID,205000,Removed Order,12,,Barclays Capital Asia Limited
33:55.9,6387,2.76,ASK,40000,New Order,5,,Morgan Stanley Hong Kong Securities Limited
33:56.0,6086,2.75,BID,1000,New Order,5,,KGI Asia Limited
33:56.0,3436,2.76,ASK,1000,New Order,6,,Goldman Sachs (Asia) Securities Limited
33:56.0,3436,2.8,ASK,1000,Removed Order,24,,Goldman Sachs (Asia) Securities Limited
33:56.9,6387,2.78,ASK,6000,Removed Order,15,,Morgan Stanley Hong Kong Securities Limited
33:56.9,6387,2.77,ASK,6000,New Order,12,,Morgan Stanley Hong Kong Securities Limited
33:59.5,4455,2.73,BID,69000,New Order,13,,Barclays Capital Asia Limited
33:59.5,2087,2.82,ASK,65000,Removed Order,25,,Barclays Capital Asia Limited
34:00.4,3436,2.76,ASK,1000,Removed Order,4,,Goldman Sachs (Asia) Securities Limited
34:00.4,3448,2.76,ASK,1000,New Order,6,,Goldman Sachs (Asia) Securities Limited
34:05.5,6387,2.77,ASK,1000,New Order,13,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.78,ASK,11000,Removed Order,17,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.77,ASK,11000,New Order,14,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.77,ASK,1000,New Order,15,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.78,ASK,2000,Removed Order,19,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.77,ASK,2000,New Order,16,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.78,ASK,15000,Removed Order,20,,Morgan Stanley Hong Kong Securities Limited
34:05.5,6387,2.77,ASK,15000,New Order,17,,Morgan Stanley Hong Kong Securities Limited
34:05.5,4455,2.81,ASK,71000,New Order,26,,Barclays Capital Asia Limited
34:15.3,3436,2.76,ASK,1000,New Order,7,,Goldman Sachs (Asia) Securities Limited
34:16.7,6387,2.78,ASK,2000,Removed Order,22,,Morgan Stanley Hong Kong Securities Limited
34:16.7,6387,2.77,ASK,2000,New Order,19,,Morgan Stanley Hong Kong Securities Limited
34:18.0,8307,2.76,ASK,1000,New Order,8,,Futu Securities International (Hong Kong) Limited
